Symbol,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD16,BXD18,BXD19,BXD23,BXD27,BXD28,BXD29,BXD31,BXD33,BXD36,BXD40,BXD42
0610010E21Rik,7.79380558,8.2008999325,7.992375417,7.6713107685,7.949413204,7.8121130285,7.993034015499999,7.6334482855,7.818623517999999,7.764838964000001,7.7669937845,7.6485988845,7.797573733,7.855423806999999,7.836462268,7.671098285499999,7.891206370500001,7.6814188545,7.773737856,7.8863422535000005,7.443381587
0610010F05Rik,7.441325226666667,7.457583853333333,7.276171882666667,7.5642128096666665,7.485187512333334,7.557037144666666,7.397699384,7.352498320666666,7.535875365666667,7.323265949333333,7.477286847333333,7.133418012,7.430836963333333,7.367258129333333,7.400266848,7.420088351333334,7.588421786333334,7.311078321166667,7.392916874666667,7.609574918,7.0433614879999995
0610010I05Rik,10.71739221,11.18329161,10.29614573,10.94619574,10.56889769,11.33452145,10.78750697,11.02959649,11.25509998,10.90979388,10.63110005,10.08866814,11.20654068,11.10036704,10.35905126,10.9568002,10.60147565,10.345174783000001,10.97430741,11.4016213,9.781767231
0610010K06Rik,8.373664112,8.465833009,8.436718745,8.07027137,8.212547549,8.2750024875,8.350352791999999,8.378214502999999,8.146918812,8.375417168,8.311886635,8.3323035245,8.370946262499999,8.3311688195,8.363488128,8.2648971325,8.31034354,8.288058915499999,8.261471967,8.2060441405,8.233399355
0610010K14Rik,9.42233749,9.048786423,9.352806931,9.353647135,9.226069409,8.667065083,9.549792601,9.480783434,9.431259658,9.141240908,9.466518583,8.993760919,9.350438845,9.383773511,9.464585831,9.641488875,9.591533857,9.2185055255,9.406736484,9.340358369,8.556693196
0610010O12Rik,8.050179502,8.511437548,8.505199788,8.716959442,8.337766568,7.848372387,8.528194835,8.421339335,8.128214527,7.97180156,8.806604893,7.694302149,8.045259249,8.164422366,8.161938248,8.02545757,7.363688734,8.5646950415,8.397808312,7.649377401,8.705236267
0610011B16Rik,6.730168345999999,6.7111012315,6.8241468560000005,6.921785203,6.792210734499999,6.798461510999999,6.9490270275,6.7675020365,6.915156060499999,6.836339813,6.9151366435,6.773138230500001,6.7351439275,6.819679934,6.76935467,7.146857868,7.13811266,6.8020986274999995,7.2913213589999994,7.0100623565,6.9233309525
0610011F06Rik,8.673829518,8.612713482,8.92887084,8.806952375,8.862386304,8.429096734,8.854251393,9.118411044,8.495425162,8.620026264,8.923134006,8.434727108,8.86324507,8.825862499,8.797701145,8.839918371,9.047050811,8.737951187,9.074859165,8.723081878,8.232704635
0610011I04Rik,7.673809502,7.203297024,7.431465037,7.458937353,7.640939931,7.073564962,7.449608773,7.703627938,7.210895457,7.370307598,7.214312713,6.902079032,7.302387625,7.662399769,7.295524857,7.498639935,7.154600827,7.253492538,7.269804417,7.498269058,6.901535118
0610011I19Rik,9.300504661,9.689535665,9.345139563,9.221588191,9.278830288,9.109995557,9.578982033,8.97101986,9.254662885,9.505350145,9.561909976,10.20335949,9.124926778,9.588552386,9.170111385,8.716959442,8.353113601,9.541570022,8.907505657,8.873011015,9.510707682
0610011L14Rik,7.219601649,7.216915771,7.34474041,7.177763027,7.319823901,7.16310456,7.290885328,7.437218294,6.984908515,7.086143084,7.15790494,7.198378422,7.350419432,7.323229467,7.161054514,6.997305343,7.502113706,7.340274903499999,7.377977558,7.1698745,7.316078164
0610011N22Rik,7.9023481525,7.77342245,7.9697386864999995,7.947886441,7.782873289,7.7963905345,7.864680292,7.888931121,7.831099098999999,7.713551353,8.050052711,7.708208956,7.852331069,7.819371982,7.9296235835,7.745835834,7.9675491119999995,7.737026262250001,7.885850191499999,7.9827965595000006,7.635587676
0610012A05Rik,6.7313648585,6.65995310375,6.6585937445,6.87341690625,6.7701495265,7.0278063565,6.9515799915,6.9190804385,6.7008529155000005,6.9201278035,6.71443000275,7.0277367535,6.88181823525,6.81139788675,6.7847989515,6.952006528,7.069047726000001,6.8318793965,7.1359804985,6.73013424075,7.34956643925
0610012D09Rik,11.29150294,10.99125434,11.23024949,11.07915573,10.88950631,10.79252228,11.01772963,11.08005708,10.80981956,11.08214783,10.97348019,11.1606044,10.98409744,10.97269921,10.97594443,10.91792777,10.9637937,10.97961939,10.804045,10.67577457,11.61489629
0610012D17Rik,10.78750697,11.01498281,10.70349487,11.29150294,10.72021578,11.69146314,10.43682554,10.59410942,10.42283476,11.49819144,10.51568372,11.56773605,11.21692211,11.15171574,10.54708096,10.94808654,11.33132361,10.551640410000001,11.05794364,11.09190849,11.14975808
